route_distance_km,schedule_overlap_days,capacity_ratio,semantic_similarity,match_berhasil
197.79,1.0,1.5312,1.0,0
465.05,0.0,0.4688,1.0,0
664.48,2.0,0.5156,1.0,0
428.38,3.0,0.125,1.0,0
116.46,0.0,1.125,1.0,0
43.45,1.0,0.8125,1.0,1
0.0,1.0,0.3125,1.0,1
22.3,0.0,0.7031,1.0,0
22.3,0.0,1.0781,1.0,0
664.48,0.0,0.1719,1.0,0
0.0,3.0,0.8281,1.0,1
465.05,0.0,1.125,1.0,0
197.79,0.0,0.4688,1.0,0
428.38,1.0,0.5156,1.0,0
274.95,0.0,1.2812,1.0,0
664.48,2.0,0.1719,1.0,0
0.0,0.0,0.7969,1.0,1
465.05,0.0,0.1562,1.0,0
7.85,0.0,1.1719,1.0,0
43.45,0.0,1.3125,1.0,0
0.0,2.0,0.6406,1.0,1
22.3,0.0,1.4219,1.0,0
197.79,0.0,1.1719,1.0,0
664.48,2.0,1.2656,1.0,0
670.31,0.0,1.8438,1.0,0
428.38,0.0,1.3125,1.0,0
43.45,2.0,0.2969,1.0,1
404.4,1.0,0.9844,1.0,0
781.58,0.0,1.5469,1.0,0
22.3,0.0,0.7187,1.0,0
465.05,2.0,0.7031,1.0,0
1239.14,3.0,0.1719,1.0,0
781.58,2.0,0.125,1.0,0
14.77,2.0,0.8906,1.0,1
22.3,3.0,0.1719,1.0,1
670.31,2.0,0.4219,1.0,0
1399.01,0.0,0.75,1.0,0
781.58,0.0,0.2969,1.0,0
664.48,0.0,0.2656,1.0,0
404.4,0.0,0.5625,1.0,0
670.31,0.0,1.6562,1.0,0
428.38,3.0,0.9531,1.0,0
22.3,3.0,1.3906,1.0,0
7.85,3.0,0.4688,1.0,1
116.46,2.0,0.2969,1.0,1
781.58,1.0,0.5937,1.0,0
14.77,0.0,1.6406,1.0,0
465.05,3.0,0.5312,1.0,0
116.46,0.0,0.625,1.0,0
197.79,0.0,1.625,1.0,0
0.0,0.0,0.5156,1.0,0
22.3,0.0,0.6406,1.0,0
0.0,0.0,0.3438,1.0,0
22.3,3.0,1.375,1.0,0
22.3,3.0,1.6719,1.0,0
116.46,1.0,1.375,1.0,0
670.31,1.0,0.6562,1.0,0
1399.01,3.0,1.625,1.0,0
22.3,1.0,0.2812,1.0,1
1399.01,1.0,1.2031,1.0,0
0.0,0.0,0.2969,1.0,0
465.05,1.0,0.1875,1.0,0
664.48,0.0,1.5781,1.0,0
14.77,0.0,0.8281,1.0,0
197.79,2.0,0.3125,1.0,0
781.58,0.0,0.6562,1.0,0
465.05,0.0,1.4688,1.0,0
1399.01,3.0,1.625,1.0,0
274.95,1.0,0.5937,1.0,0
670.31,0.0,0.1875,1.0,0
197.79,1.0,0.9062,1.0,0
428.38,0.0,0.375,1.0,0
404.4,0.0,0.875,1.0,0
670.31,0.0,0.4844,1.0,0
22.3,1.0,0.0937,1.0,1
404.4,1.0,1.2969,1.0,0
428.38,0.0,1.125,1.0,0
116.46,2.0,1.8281,1.0,0
781.58,0.0,0.8906,1.0,0
664.48,3.0,1.0469,1.0,0
664.48,0.0,0.125,1.0,0
664.48,0.0,0.1562,1.0,0
14.77,0.0,1.4062,1.0,0
14.77,1.0,0.5781,1.0,1
0.0,1.0,0.7187,1.0,1
664.48,1.0,0.375,1.0,0
7.85,0.0,1.125,1.0,0
1239.14,0.0,0.3125,1.0,0
0.0,0.0,1.0312,1.0,0
1239.14,1.0,0.1875,1.0,0
0.0,0.0,1.875,1.0,0
404.4,1.0,0.3125,1.0,0
404.4,4.0,1.25,1.0,0
7.85,3.0,0.8438,1.0,1
664.48,1.0,0.25,1.0,0
465.05,2.0,1.125,1.0,0
0.0,1.0,0.3594,1.0,1
116.46,1.0,1.5312,1.0,0
1239.14,0.0,1.7344,1.0,0
14.77,0.0,0.25,1.0,0
116.46,3.0,0.2344,1.0,1
428.38,0.0,0.3438,1.0,0
116.46,1.0,0.2656,1.0,1
0.0,1.0,1.4531,1.0,0
116.46,1.0,0.1719,1.0,1
664.48,1.0,0.1094,1.0,0
670.31,0.0,0.9062,1.0,0
404.4,1.0,1.1406,1.0,0
670.31,0.0,1.0312,1.0,0
116.46,0.0,0.3906,1.0,0
0.0,0.0,0.8906,1.0,0
22.3,1.0,0.5781,1.0,1
22.3,1.0,1.2344,1.0,0
14.77,1.0,1.625,1.0,0
465.05,3.0,0.3906,1.0,0
116.46,0.0,1.2969,1.0,0
664.48,0.0,1.7188,1.0,0
116.46,0.0,0.6719,1.0,0
0.0,1.0,0.6406,1.0,1
404.4,0.0,0.2656,1.0,0
428.38,0.0,0.1719,1.0,0
197.79,0.0,0.5,1.0,0
1239.14,0.0,0.7656,1.0,0
1239.14,0.0,1.0781,1.0,0
781.58,0.0,0.3438,1.0,0
7.85,3.0,0.75,1.0,1
0.0,0.0,1.5625,1.0,0
404.4,0.0,1.0625,1.0,0
7.85,0.0,0.9062,1.0,0
428.38,0.0,0.7187,1.0,0
0.0,1.0,1.2188,1.0,0
116.46,0.0,1.4688,1.0,0
43.45,0.0,1.0156,1.0,0
781.58,0.0,0.5,1.0,0
43.45,0.0,0.4219,1.0,0
7.85,4.0,0.7656,1.0,1
116.46,2.0,1.1562,1.0,0
670.31,2.0,0.2031,1.0,0
116.46,0.0,1.7812,1.0,0
116.46,0.0,0.8594,1.0,0
197.79,0.0,1.4219,1.0,0
0.0,0.0,1.7969,1.0,0
465.05,2.0,1.2656,1.0,0
14.77,0.0,0.5937,1.0,0
1399.01,2.0,0.6094,1.0,0
664.48,0.0,0.3281,1.0,0
465.05,2.0,1.3594,1.0,0
1239.14,0.0,0.1719,1.0,0
116.46,0.0,0.2187,1.0,1
670.31,0.0,0.9062,1.0,0
428.38,0.0,1.1719,1.0,0
0.0,0.0,1.2188,1.0,0
22.3,2.0,0.6094,1.0,1
404.4,0.0,0.7344,1.0,0
116.46,2.0,0.5156,1.0,1
14.77,0.0,1.8125,1.0,0
7.85,0.0,0.6094,1.0,1
197.79,0.0,1.6406,1.0,0
22.3,1.0,1.0469,1.0,0
116.46,0.0,1.0781,1.0,0
670.31,0.0,0.6719,1.0,0
428.38,1.0,0.625,1.0,0
1239.14,0.0,1.8281,1.0,0
781.58,3.0,0.5,1.0,0
14.77,3.0,0.2969,1.0,1
116.46,3.0,1.0781,1.0,0
664.48,3.0,1.5,1.0,0
197.79,0.0,2.0,1.0,0
7.85,0.0,1.7344,1.0,0
7.85,0.0,0.4844,1.0,0
404.4,0.0,1.6406,1.0,0
274.95,3.0,0.5937,1.0,0
664.48,0.0,1.75,1.0,0
404.4,0.0,1.75,1.0,0
664.48,2.0,0.4219,1.0,0
1239.14,0.0,0.25,1.0,0
664.48,4.0,0.4062,1.0,0
22.3,0.0,0.4219,1.0,0
465.05,0.0,0.625,1.0,0
